00:00:03.140,70-01-01,0000000014, TSK0040,Version: 5.0.0.89  
00:00:17.150,70-01-01,0000000015, TSK0040,Version: 5.0.0.89  
00:00:23.190,70-01-01,0000000019,     gui,Version: 5.0.0.1509  
00:00:05.140,70-01-01,0000000014, TSK0040,Version: 5.0.0.89  
00:00:11.190,70-01-01,0000000019,     gui,Version: 5.0.0.1509  
00:00:05.150,70-01-01,0000000015, TSK0040,Version: 5.0.0.89  
00:00:13.150,70-01-01,0000000015, TSK0040,Version: 5.0.0.89  
00:00:19.200,70-01-01,0000000020,     gui,Version: 5.0.0.1509  
00:00:03.150,70-01-01,0000000015, TSK0040,Version: 5.0.0.89  
00:00:09.200,70-01-01,0000000020,     gui,Version: 5.0.0.1509  
04:07:38.150,70-01-02,0000000015, TSK0040,Version: 5.0.0.89  
04:07:44.200,70-01-02,0000000020,     gui,Version: 5.0.0.1509  
00:00:03.150,70-01-01,0000000015, TSK0040,Version: 5.0.0.89  
00:00:09.200,70-01-01,0000000020,     gui,Version: 5.0.0.1509  
00:27:52.060,70-01-01,0000108906, USBREAD,TI_CN_TR_Reset: Transmit Pipe reset!
16:57:32.689,19-09-03,0000108928, TSK002E,TI_NN_Login(): username and password invalid.
17:00:11.150,19-09-03,0000000015, TSK0040,Version: 5.0.0.89  
17:00:24.150,19-09-03,0000000015, TSK0040,Version: 5.1.0.104  
17:00:46.140,19-09-03,0000000014, TSK0040,Version: 5.1.0.104  
17:00:52.190,19-09-03,0000000019,     gui,Version: 5.1.0.177  
17:00:57.180,19-09-03,0000000518, USBREAD,TI_CN_TR_Reset: Transmit Pipe reset!
17:00:58.030,19-09-03,0000000542, TSK002E,TI_NN_Login(): username and password invalid.
17:07:02.670,19-09-03,0000036106,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
17:07:02.680,19-09-03,0000036107,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
